Date,Open,High,Low,Close,Volume,Adj Close
2000-10-18,1349.969971,1356.650024,1305.790039,1342.130005,1441700000,1342.130005
2000-10-19,1342.130005,1389.930054,1342.130005,1388.76001,1297900000,1388.76001
2000-10-20,1388.76001,1408.469971,1382.189941,1396.930054,1177400000,1396.930054
2000-10-23,1396.930054,1406.959961,1387.75,1395.780029,1046800000,1395.780029
2000-10-24,1395.780029,1415.640015,1388.130005,1398.130005,1158600000,1398.130005
2000-10-25,1398.130005,1398.130005,1362.209961,1364.900024,1315600000,1364.900024
2000-10-26,1364.900024,1372.719971,1337.810059,1364.439941,1303800000,1364.439941
2000-10-27,1364.439941,1384.569946,1364.130005,1379.579956,1086300000,1379.579956
2000-10-30,1379.579956,1406.359985,1376.859985,1398.660034,1186500000,1398.660034
2000-10-31,1398.660034,1432.219971,1398.660034,1429.400024,1366400000,1429.400024
2000-11-01,1429.400024,1429.599976,1410.449951,1421.219971,1206800000,1421.219971
2000-11-02,1421.219971,1433.400024,1421.219971,1428.319946,1167700000,1428.319946
2000-11-03,1428.319946,1433.209961,1420.920044,1426.689941,997700000,1426.689941
2000-11-06,1428.76001,1438.459961,1427.719971,1432.189941,930900000,1432.189941
2000-11-07,1432.189941,1436.219971,1423.26001,1431.869995,880900000,1431.869995
2000-11-08,1431.869995,1437.280029,1408.780029,1409.280029,909300000,1409.280029
2000-11-09,1409.280029,1409.280029,1369.680054,1400.140015,1111000000,1400.140015
2000-11-10,1400.140015,1400.140015,1365.969971,1365.97998,962500000,1365.97998
2000-11-13,1365.97998,1365.97998,1328.619995,1351.26001,1129300000,1351.26001
2000-11-14,1351.26001,1390.060059,1351.26001,1382.949951,1118800000,1382.949951
2000-11-15,1382.949951,1395.959961,1374.75,1389.810059,1066800000,1389.810059
2000-11-16,1389.810059,1394.76001,1370.390015,1372.319946,956300000,1372.319946
2000-11-17,1372.319946,1384.849976,1355.550049,1367.719971,1070400000,1367.719971
2000-11-20,1367.719971,1367.719971,1341.670044,1342.619995,955800000,1342.619995
2000-11-21,1342.619995,1355.869995,1333.619995,1347.349976,1137100000,1347.349976
2000-11-22,1347.349976,1347.349976,1321.890015,1322.359985,963200000,1322.359985
2000-11-24,1322.359985,1343.829956,1322.359985,1341.77002,404870000,1341.77002
2000-11-27,1341.77002,1362.50,1341.77002,1348.969971,946100000,1348.969971
2000-11-28,1348.969971,1358.810059,1334.969971,1336.089966,1028200000,1336.089966
2000-11-29,1336.089966,1352.380005,1329.280029,1341.930054,402100000,1341.930054
2000-11-30,1341.910034,1341.910034,1294.900024,1314.949951,1186530000,1314.949951
2000-12-01,1314.949951,1334.670044,1307.02002,1315.22998,1195200000,1315.22998
2000-12-04,1315.180054,1332.060059,1310.22998,1324.969971,1103000000,1324.969971
2000-12-05,1324.969971,1376.560059,1324.969971,1376.540039,900300000,1376.540039
2000-12-06,1376.540039,1376.540039,1346.150024,1351.459961,1399300000,1351.459961
2000-12-07,1351.459961,1353.50,1339.26001,1343.550049,1128000000,1343.550049
2000-12-08,1343.550049,1380.329956,1343.550049,1369.890015,1358300000,1369.890015
2000-12-11,1369.890015,1389.050049,1364.140015,1380.199951,1202400000,1380.199951
2000-12-12,1380.199951,1380.27002,1370.27002,1371.180054,1083400000,1371.180054
2000-12-13,1371.180054,1385.819946,1358.47998,1359.98999,1195100000,1359.98999
2000-12-14,1359.98999,1359.98999,1340.47998,1340.930054,1061300000,1340.930054
2000-12-15,1340.930054,1340.930054,1305.380005,1312.150024,1561100000,1312.150024
2000-12-18,1312.150024,1332.319946,1312.150024,1322.73999,1189900000,1322.73999
2000-12-19,1322.959961,1346.439941,1305.199951,1305.599976,1324900000,1305.599976
2000-12-20,1305.599976,1305.599976,1261.160034,1264.73999,1421600000,1264.73999
2000-12-21,1264.73999,1285.310059,1254.069946,1274.859985,1449900000,1274.859985
2000-12-22,1274.859985,1305.969971,1274.859985,1305.949951,1087100000,1305.949951
2000-12-26,1305.969971,1315.939941,1301.640015,1315.189941,806500000,1315.189941
2000-12-27,1315.189941,1332.030029,1310.959961,1328.920044,1092700000,1328.920044
2000-12-28,1328.920044,1335.930054,1325.780029,1334.219971,1015300000,1334.219971
2000-12-29,1334.219971,1340.099976,1317.51001,1320.280029,1035500000,1320.280029
